"source_member_ordinal","member_path_raw","pair_token_opaque","typed_observation_count","resolution_status","resolution_method","official_pair_key","official_altname","official_wsname","base_asset_id","quote_asset_id","base_exchange_symbol","quote_exchange_symbol","pair_status","research_eligible","identity_evidence_json"
"4865","MXCUSD_1.csv","MXCUSD","21494","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","MXC/USD","MXC","ZUSD","MXC","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":4865,""official_support_url"":""""}"
"4873","NANOEUR_1.csv","NANOEUR","4177","official_exact","official_altname_exact","NANOEUR","NANOEUR","NANO/EUR","NANO","ZEUR","NANO","EUR","online","True","{""pair_key"":""NANOEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NANO"",""quote"":""ZEUR""}"
"4881","NANOUSD_1.csv","NANOUSD","17529","official_exact","official_altname_exact","NANOUSD","NANOUSD","NANO/USD","NANO","ZUSD","NANO","USD","online","True","{""pair_key"":""NANOUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NANO"",""quote"":""ZUSD""}"
"4889","NEAREUR_1.csv","NEAREUR","12806","official_exact","official_altname_exact","NEAREUR","NEAREUR","NEAR/EUR","NEAR","ZEUR","NEAR","EUR","online","True","{""pair_key"":""NEAREUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NEAR"",""quote"":""ZEUR""}"
"4897","NEARUSD_1.csv","NEARUSD","39141","official_exact","official_altname_exact","NEARUSD","NEARUSD","NEAR/USD","NEAR","ZUSD","NEAR","USD","online","True","{""pair_key"":""NEARUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NEAR"",""quote"":""ZUSD""}"
"4905","NEIROEUR_1.csv","NEIROEUR","2923","official_exact","official_altname_exact","NEIROEUR","NEIROEUR","NEIRO/EUR","NEIRO","ZEUR","NEIRO","EUR","online","True","{""pair_key"":""NEIROEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NEIRO"",""quote"":""ZEUR""}"
"4913","NEIROUSD_1.csv","NEIROUSD","16415","official_exact","official_altname_exact","NEIROUSD","NEIROUSD","NEIRO/USD","NEIRO","ZUSD","NEIRO","USD","online","True","{""pair_key"":""NEIROUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NEIRO"",""quote"":""ZUSD""}"
"4921","NILEUR_1.csv","NILEUR","673","official_exact","official_altname_exact","NILEUR","NILEUR","NIL/EUR","NIL","ZEUR","NIL","EUR","online","True","{""pair_key"":""NILEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NIL"",""quote"":""ZEUR""}"
"4929","NILUSD_1.csv","NILUSD","4553","official_exact","official_altname_exact","NILUSD","NILUSD","NIL/USD","NIL","ZUSD","NIL","USD","online","True","{""pair_key"":""NILUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NIL"",""quote"":""ZUSD""}"
"4937","NMREUR_1.csv","NMREUR","1789","official_exact","official_altname_exact","NMREUR","NMREUR","NMR/EUR","NMR","ZEUR","NMR","EUR","online","True","{""pair_key"":""NMREUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NMR"",""quote"":""ZEUR""}"
"4945","NMRUSD_1.csv","NMRUSD","4116","official_exact","official_altname_exact","NMRUSD","NMRUSD","NMR/USD","NMR","ZUSD","NMR","USD","online","True","{""pair_key"":""NMRUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NMR"",""quote"":""ZUSD""}"
"4953","NODLEUR_1.csv","NODLEUR","857","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","NODL/EUR","NODL","ZEUR","NODL","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":4953,""official_support_url"":""""}"
"4961","NODLUSD_1.csv","NODLUSD","1707","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","NODL/USD","NODL","ZUSD","NODL","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":4961,""official_support_url"":""""}"
"4969","NOSEUR_1.csv","NOSEUR","5335","official_exact","official_altname_exact","NOSEUR","NOSEUR","NOS/EUR","NOS","ZEUR","NOS","EUR","online","True","{""pair_key"":""NOSEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NOS"",""quote"":""ZEUR""}"
"4977","NOSUSD_1.csv","NOSUSD","11857","official_exact","official_altname_exact","NOSUSD","NOSUSD","NOS/USD","NOS","ZUSD","NOS","USD","online","True","{""pair_key"":""NOSUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NOS"",""quote"":""ZUSD""}"
"4985","NOTEUR_1.csv","NOTEUR","1230","official_exact","official_altname_exact","NOTEUR","NOTEUR","NOT/EUR","NOT","ZEUR","NOT","EUR","online","True","{""pair_key"":""NOTEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NOT"",""quote"":""ZEUR""}"
"4993","NOTUSD_1.csv","NOTUSD","6212","official_exact","official_altname_exact","NOTUSD","NOTUSD","NOT/USD","NOT","ZUSD","NOT","USD","online","True","{""pair_key"":""NOTUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NOT"",""quote"":""ZUSD""}"
"5001","NPCEUR_1.csv","NPCEUR","281","official_exact","official_altname_exact","NPCEUR","NPCEUR","NPC/EUR","NPC","ZEUR","NPC","EUR","online","True","{""pair_key"":""NPCEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NPC"",""quote"":""ZEUR""}"
"5009","NPCUSD_1.csv","NPCUSD","1207","official_exact","official_altname_exact","NPCUSD","NPCUSD","NPC/USD","NPC","ZUSD","NPC","USD","online","True","{""pair_key"":""NPCUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NPC"",""quote"":""ZUSD""}"
"5017","NTRNEUR_1.csv","NTRNEUR","304","official_exact","official_altname_exact","NTRNEUR","NTRNEUR","NTRN/EUR","NTRN","ZEUR","NTRN","EUR","cancel_only","True","{""pair_key"":""NTRNEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NTRN"",""quote"":""ZEUR""}"
"5025","NTRNUSD_1.csv","NTRNUSD","5507","official_exact","official_altname_exact","NTRNUSD","NTRNUSD","NTRN/USD","NTRN","ZUSD","NTRN","USD","cancel_only","True","{""pair_key"":""NTRNUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""NTRN"",""quote"":""ZUSD""}"
"5033","NYMEUR_1.csv","NYMEUR","625","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","NYM/EUR","NYM","ZEUR","NYM","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5033,""official_support_url"":""""}"
"5041","NYMUSD_1.csv","NYMUSD","4233","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","NYM/USD","NYM","ZUSD","NYM","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5041,""official_support_url"":""""}"
"5049","OCEANEUR_1.csv","OCEANEUR","3554","official_exact","official_altname_exact","OCEANEUR","OCEANEUR","OCEAN/EUR","OCEAN","ZEUR","OCEAN","EUR","online","True","{""pair_key"":""OCEANEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OCEAN"",""quote"":""ZEUR""}"
"5057","OCEANUSD_1.csv","OCEANUSD","16501","official_exact","official_altname_exact","OCEANUSD","OCEANUSD","OCEAN/USD","OCEAN","ZUSD","OCEAN","USD","online","True","{""pair_key"":""OCEANUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OCEAN"",""quote"":""ZUSD""}"
"5065","ODOSEUR_1.csv","ODOSEUR","252","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","ODOS/EUR","ODOS","ZEUR","ODOS","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5065,""official_support_url"":""""}"
"5073","ODOSUSD_1.csv","ODOSUSD","5048","official_exact","official_altname_exact","ODOSUSD","ODOSUSD","ODOS/USD","ODOS","ZUSD","ODOS","USD","online","True","{""pair_key"":""ODOSUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ODOS"",""quote"":""ZUSD""}"
"5081","OGNEUR_1.csv","OGNEUR","7487","official_exact","official_altname_exact","OGNEUR","OGNEUR","OGN/EUR","OGN","ZEUR","OGN","EUR","online","True","{""pair_key"":""OGNEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OGN"",""quote"":""ZEUR""}"
"5089","OGNUSD_1.csv","OGNUSD","7135","official_exact","official_altname_exact","OGNUSD","OGNUSD","OGN/USD","OGN","ZUSD","OGN","USD","online","True","{""pair_key"":""OGNUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OGN"",""quote"":""ZUSD""}"
"5097","OMEUR_1.csv","OMEUR","10793","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","OM/EUR","OM","ZEUR","OM","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5097,""official_support_url"":""""}"
"5105","OMGEUR_1.csv","OMGEUR","2453","official_exact","official_altname_exact","OMGEUR","OMGEUR","OMG/EUR","OMG","ZEUR","OMG","EUR","online","True","{""pair_key"":""OMGEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OMG"",""quote"":""ZEUR""}"
"5113","OMGUSD_1.csv","OMGUSD","9376","official_exact","official_altname_exact","OMGUSD","OMGUSD","OMG/USD","OMG","ZUSD","OMG","USD","online","True","{""pair_key"":""OMGUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OMG"",""quote"":""ZUSD""}"
"5121","OMNIEUR_1.csv","OMNIEUR","292","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","OMNI/EUR","OMNI","ZEUR","OMNI","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5121,""official_support_url"":""""}"
"5129","OMNIUSD_1.csv","OMNIUSD","205","official_exact","official_altname_exact","OMNIUSD","OMNIUSD","OMNI/USD","OMNI","ZUSD","OMNI","USD","cancel_only","True","{""pair_key"":""OMNIUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OMNI"",""quote"":""ZUSD""}"
"5137","OMUSD_1.csv","OMUSD","37468","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","OM/USD","OM","ZUSD","OM","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5137,""official_support_url"":""""}"
"5145","ONDOEUR_1.csv","ONDOEUR","21776","official_exact","official_altname_exact","ONDOEUR","ONDOEUR","ONDO/EUR","ONDO","ZEUR","ONDO","EUR","online","True","{""pair_key"":""ONDOEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ONDO"",""quote"":""ZEUR""}"
"5153","ONDOUSD_1.csv","ONDOUSD","70093","official_exact","official_altname_exact","ONDOUSD","ONDOUSD","ONDO/USD","ONDO","ZUSD","ONDO","USD","online","True","{""pair_key"":""ONDOUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ONDO"",""quote"":""ZUSD""}"
"5161","OPEUR_1.csv","OPEUR","5644","official_exact","official_altname_exact","OPEUR","OPEUR","OP/EUR","OP","ZEUR","OP","EUR","online","True","{""pair_key"":""OPEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OP"",""quote"":""ZEUR""}"
"5169","OPUSD_1.csv","OPUSD","19048","official_exact","official_altname_exact","OPUSD","OPUSD","OP/USD","OP","ZUSD","OP","USD","online","True","{""pair_key"":""OPUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OP"",""quote"":""ZUSD""}"
"5177","ORCAEUR_1.csv","ORCAEUR","4542","official_exact","official_altname_exact","ORCAEUR","ORCAEUR","ORCA/EUR","ORCA","ZEUR","ORCA","EUR","online","True","{""pair_key"":""ORCAEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ORCA"",""quote"":""ZEUR""}"
"5185","ORCAUSD_1.csv","ORCAUSD","13029","official_exact","official_altname_exact","ORCAUSD","ORCAUSD","ORCA/USD","ORCA","ZUSD","ORCA","USD","online","True","{""pair_key"":""ORCAUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ORCA"",""quote"":""ZUSD""}"
"5193","ORDEREUR_1.csv","ORDEREUR","131","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","ORDER/EUR","ORDER","ZEUR","ORDER","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5193,""official_support_url"":""""}"
"5201","ORDERUSD_1.csv","ORDERUSD","398","official_exact","official_altname_exact","ORDERUSD","ORDERUSD","ORDER/USD","ORDER","ZUSD","ORDER","USD","online","True","{""pair_key"":""ORDERUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ORDER"",""quote"":""ZUSD""}"
"5209","OSMOEUR_1.csv","OSMOEUR","834","official_exact","official_altname_exact","OSMOEUR","OSMOEUR","OSMO/EUR","OSMO","ZEUR","OSMO","EUR","online","True","{""pair_key"":""OSMOEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OSMO"",""quote"":""ZEUR""}"
"5217","OSMOUSD_1.csv","OSMOUSD","6672","official_exact","official_altname_exact","OSMOUSD","OSMOUSD","OSMO/USD","OSMO","ZUSD","OSMO","USD","online","True","{""pair_key"":""OSMOUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OSMO"",""quote"":""ZUSD""}"
"5225","OXTEUR_1.csv","OXTEUR","2234","official_exact","official_altname_exact","OXTEUR","OXTEUR","OXT/EUR","OXT","ZEUR","OXT","EUR","online","True","{""pair_key"":""OXTEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OXT"",""quote"":""ZEUR""}"
"5233","OXTUSD_1.csv","OXTUSD","5205","official_exact","official_altname_exact","OXTUSD","OXTUSD","OXT/USD","OXT","ZUSD","OXT","USD","online","True","{""pair_key"":""OXTUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""OXT"",""quote"":""ZUSD""}"
"5241","OXYEUR_1.csv","OXYEUR","1159","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","OXY/EUR","OXY","ZEUR","OXY","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5241,""official_support_url"":""""}"
"5249","OXYUSD_1.csv","OXYUSD","1551","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","OXY/USD","OXY","ZUSD","OXY","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5249,""official_support_url"":""""}"
"5257","PAXGETH_1.csv","PAXGETH","3616","official_exact","official_altname_exact","PAXGETH","PAXGETH","PAXG/ETH","PAXG","XETH","PAXG","ETH","online","True","{""pair_key"":""PAXGETH"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PAXG"",""quote"":""XETH""}"
"5265","PAXGEUR_1.csv","PAXGEUR","12926","official_exact","official_altname_exact","PAXGEUR","PAXGEUR","PAXG/EUR","PAXG","ZEUR","PAXG","EUR","online","True","{""pair_key"":""PAXGEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PAXG"",""quote"":""ZEUR""}"
"5273","PAXGUSD_1.csv","PAXGUSD","32181","official_exact","official_altname_exact","PAXGUSD","PAXGUSD","PAXG/USD","PAXG","ZUSD","PAXG","USD","online","True","{""pair_key"":""PAXGUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PAXG"",""quote"":""ZUSD""}"
"5281","PAXGXBT_1.csv","PAXGXBT","12327","official_exact","official_altname_exact","PAXGXBT","PAXGXBT","PAXG/XBT","PAXG","XXBT","PAXG","XBT","online","True","{""pair_key"":""PAXGXBT"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PAXG"",""quote"":""XXBT""}"
"5289","PDAEUR_1.csv","PDAEUR","2929","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","PDA/EUR","PDA","ZEUR","PDA","EUR","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5289,""official_support_url"":""""}"
"5297","PDAUSD_1.csv","PDAUSD","6952","reviewed_historical_identity","frozen_historical_registry_current_official_assets","","","PDA/USD","PDA","ZUSD","PDA","USD","historical_pair_absent_from_captured_current_assetpairs","True","{""registry_sha256"":""65aaac5993ada762c8498f2fe9c298c00eb7f1f5a0deeea407f8c0cf10562408"",""resolution_method"":""frozen_historical_registry_current_official_assets"",""evidence_class"":""captured_current_official_asset_records_plus_official_archive_member"",""source_member_ordinal"":5297,""official_support_url"":""""}"
"5305","PENDLEEUR_1.csv","PENDLEEUR","3613","official_exact","official_altname_exact","PENDLEEUR","PENDLEEUR","PENDLE/EUR","PENDLE","ZEUR","PENDLE","EUR","online","True","{""pair_key"":""PENDLEEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PENDLE"",""quote"":""ZEUR""}"
"5313","PENDLEUSD_1.csv","PENDLEUSD","16146","official_exact","official_altname_exact","PENDLEUSD","PENDLEUSD","PENDLE/USD","PENDLE","ZUSD","PENDLE","USD","online","True","{""pair_key"":""PENDLEUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PENDLE"",""quote"":""ZUSD""}"
"5321","PENGUEUR_1.csv","PENGUEUR","11625","official_exact","official_altname_exact","PENGUEUR","PENGUEUR","PENGU/EUR","PENGU","ZEUR","PENGU","EUR","online","True","{""pair_key"":""PENGUEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PENGU"",""quote"":""ZEUR""}"
"5329","PENGUUSDC_1.csv","PENGUUSDC","1385","official_exact","official_altname_exact","PENGUUSDC","PENGUUSDC","PENGU/USDC","PENGU","USDC","PENGU","USDC","online","True","{""pair_key"":""PENGUUSDC"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PENGU"",""quote"":""USDC""}"
"5337","PENGUUSDT_1.csv","PENGUUSDT","13369","official_exact","official_altname_exact","PENGUUSDT","PENGUUSDT","PENGU/USDT","PENGU","USDT","PENGU","USDT","online","True","{""pair_key"":""PENGUUSDT"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PENGU"",""quote"":""USDT""}"
"5345","PENGUUSD_1.csv","PENGUUSD","73057","official_exact","official_altname_exact","PENGUUSD","PENGUUSD","PENGU/USD","PENGU","ZUSD","PENGU","USD","online","True","{""pair_key"":""PENGUUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PENGU"",""quote"":""ZUSD""}"
"5353","PEPEAUD_1.csv","PEPEAUD","1523","official_exact","official_altname_exact","PEPEAUD","PEPEAUD","PEPE/AUD","PEPE","ZAUD","PEPE","AUD","online","True","{""pair_key"":""PEPEAUD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PEPE"",""quote"":""ZAUD""}"
"5361","PEPECAD_1.csv","PEPECAD","6667","official_exact","official_altname_exact","PEPECAD","PEPECAD","PEPE/CAD","PEPE","ZCAD","PEPE","CAD","online","True","{""pair_key"":""PEPECAD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PEPE"",""quote"":""ZCAD""}"
"5369","PEPEEUR_1.csv","PEPEEUR","44985","official_exact","official_altname_exact","PEPEEUR","PEPEEUR","PEPE/EUR","PEPE","ZEUR","PEPE","EUR","online","True","{""pair_key"":""PEPEEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PEPE"",""quote"":""ZEUR""}"
"5377","PEPEGBP_1.csv","PEPEGBP","8944","official_exact","official_altname_exact","PEPEGBP","PEPEGBP","PEPE/GBP","PEPE","ZGBP","PEPE","GBP","online","True","{""pair_key"":""PEPEGBP"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PEPE"",""quote"":""ZGBP""}"
"5385","PEPEUSD_1.csv","PEPEUSD","92373","official_exact","official_altname_exact","PEPEUSD","PEPEUSD","PEPE/USD","PEPE","ZUSD","PEPE","USD","online","True","{""pair_key"":""PEPEUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PEPE"",""quote"":""ZUSD""}"
"5393","PERPEUR_1.csv","PERPEUR","2902","official_exact","official_altname_exact","PERPEUR","PERPEUR","PERP/EUR","PERP","ZEUR","PERP","EUR","online","True","{""pair_key"":""PERPEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PERP"",""quote"":""ZEUR""}"
"5401","PERPUSD_1.csv","PERPUSD","6027","official_exact","official_altname_exact","PERPUSD","PERPUSD","PERP/USD","PERP","ZUSD","PERP","USD","online","True","{""pair_key"":""PERPUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PERP"",""quote"":""ZUSD""}"
"5409","PHAEUR_1.csv","PHAEUR","2261","official_exact","official_altname_exact","PHAEUR","PHAEUR","PHA/EUR","PHA","ZEUR","PHA","EUR","online","True","{""pair_key"":""PHAEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PHA"",""quote"":""ZEUR""}"
"5417","PHAUSD_1.csv","PHAUSD","14270","official_exact","official_altname_exact","PHAUSD","PHAUSD","PHA/USD","PHA","ZUSD","PHA","USD","online","True","{""pair_key"":""PHAUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PHA"",""quote"":""ZUSD""}"
"5425","PLUMEEUR_1.csv","PLUMEEUR","2384","official_exact","official_altname_exact","PLUMEEUR","PLUMEEUR","PLUME/EUR","PLUME","ZEUR","PLUME","EUR","online","True","{""pair_key"":""PLUMEEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PLUME"",""quote"":""ZEUR""}"
"5433","PLUMEUSD_1.csv","PLUMEUSD","18252","official_exact","official_altname_exact","PLUMEUSD","PLUMEUSD","PLUME/USD","PLUME","ZUSD","PLUME","USD","online","True","{""pair_key"":""PLUMEUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PLUME"",""quote"":""ZUSD""}"
"5441","PNUTEUR_1.csv","PNUTEUR","4234","official_exact","official_altname_exact","PNUTEUR","PNUTEUR","PNUT/EUR","PNUT","ZEUR","PNUT","EUR","online","True","{""pair_key"":""PNUTEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PNUT"",""quote"":""ZEUR""}"
"5449","PNUTUSD_1.csv","PNUTUSD","25050","official_exact","official_altname_exact","PNUTUSD","PNUTUSD","PNUT/USD","PNUT","ZUSD","PNUT","USD","online","True","{""pair_key"":""PNUTUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""PNUT"",""quote"":""ZUSD""}"
"5457","POLEUR_1.csv","POLEUR","25667","official_exact","official_altname_exact","POLEUR","POLEUR","POL/EUR","POL","ZEUR","POL","EUR","online","True","{""pair_key"":""POLEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""POL"",""quote"":""ZEUR""}"
"5465","POLISEUR_1.csv","POLISEUR","2069","official_exact","official_altname_exact","POLISEUR","POLISEUR","POLIS/EUR","POLIS","ZEUR","POLIS","EUR","online","True","{""pair_key"":""POLISEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""POLIS"",""quote"":""ZEUR""}"
"5473","POLISUSD_1.csv","POLISUSD","4796","official_exact","official_altname_exact","POLISUSD","POLISUSD","POLIS/USD","POLIS","ZUSD","POLIS","USD","online","True","{""pair_key"":""POLISUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""POLIS"",""quote"":""ZUSD""}"
"5481","POLSEUR_1.csv","POLSEUR","523","official_exact","official_altname_exact","POLSEUR","POLSEUR","POLS/EUR","POLS","ZEUR","POLS","EUR","online","True","{""pair_key"":""POLSEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""POLS"",""quote"":""ZEUR""}"
