"source_member_ordinal","member_path_raw","pair_token_opaque","typed_observation_count","resolution_status","resolution_method","official_pair_key","official_altname","official_wsname","base_asset_id","quote_asset_id","base_exchange_symbol","quote_exchange_symbol","pair_status","research_eligible","identity_evidence_json"
"321","AKTUSD_1.csv","AKTUSD","36595","official_exact","official_altname_exact","AKTUSD","AKTUSD","AKT/USD","AKT","ZUSD","AKT","USD","online","True","{""pair_key"":""AKTUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""AKT"",""quote"":""ZUSD""}"
"329","ALCHEUR_1.csv","ALCHEUR","1199","official_exact","official_altname_exact","ALCHEUR","ALCHEUR","ALCH/EUR","ALCH","ZEUR","ALCH","EUR","online","True","{""pair_key"":""ALCHEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALCH"",""quote"":""ZEUR""}"
"337","ALCHUSD_1.csv","ALCHUSD","3628","official_exact","official_altname_exact","ALCHUSD","ALCHUSD","ALCH/USD","ALCH","ZUSD","ALCH","USD","online","True","{""pair_key"":""ALCHUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALCH"",""quote"":""ZUSD""}"
"345","ALCXEUR_1.csv","ALCXEUR","696","official_exact","official_altname_exact","ALCXEUR","ALCXEUR","ALCX/EUR","ALCX","ZEUR","ALCX","EUR","online","True","{""pair_key"":""ALCXEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALCX"",""quote"":""ZEUR""}"
"353","ALCXUSD_1.csv","ALCXUSD","3848","official_exact","official_altname_exact","ALCXUSD","ALCXUSD","ALCX/USD","ALCX","ZUSD","ALCX","USD","online","True","{""pair_key"":""ALCXUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALCX"",""quote"":""ZUSD""}"
"361","ALGOETH_1.csv","ALGOETH","2605","official_exact","official_altname_exact","ALGOETH","ALGOETH","ALGO/ETH","ALGO","XETH","ALGO","ETH","online","True","{""pair_key"":""ALGOETH"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALGO"",""quote"":""XETH""}"
"369","ALGOEUR_1.csv","ALGOEUR","17166","official_exact","official_altname_exact","ALGOEUR","ALGOEUR","ALGO/EUR","ALGO","ZEUR","ALGO","EUR","online","True","{""pair_key"":""ALGOEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALGO"",""quote"":""ZEUR""}"
"377","ALGOGBP_1.csv","ALGOGBP","6276","official_exact","official_altname_exact","ALGOGBP","ALGOGBP","ALGO/GBP","ALGO","ZGBP","ALGO","GBP","online","True","{""pair_key"":""ALGOGBP"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALGO"",""quote"":""ZGBP""}"
"385","ALGOUSDC_1.csv","ALGOUSDC","3152","official_exact","official_altname_exact","ALGOUSDC","ALGOUSDC","ALGO/USDC","ALGO","USDC","ALGO","USDC","online","True","{""pair_key"":""ALGOUSDC"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALGO"",""quote"":""USDC""}"
"393","ALGOUSDT_1.csv","ALGOUSDT","16210","official_exact","official_altname_exact","ALGOUSDT","ALGOUSDT","ALGO/USDT","ALGO","USDT","ALGO","USDT","online","True","{""pair_key"":""ALGOUSDT"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALGO"",""quote"":""USDT""}"
"401","ALGOUSD_1.csv","ALGOUSD","51503","official_exact","official_altname_exact","ALGOUSD","ALGOUSD","ALGO/USD","ALGO","ZUSD","ALGO","USD","online","True","{""pair_key"":""ALGOUSD"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALGO"",""quote"":""ZUSD""}"
"409","ALGOXBT_1.csv","ALGOXBT","8221","official_exact","official_altname_exact","ALGOXBT","ALGOXBT","ALGO/XBT","ALGO","XXBT","ALGO","XBT","online","True","{""pair_key"":""ALGOXBT"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALGO"",""quote"":""XXBT""}"
"417","ALICEEUR_1.csv","ALICEEUR","556","official_exact","official_altname_exact","ALICEEUR","ALICEEUR","ALICE/EUR","ALICE","ZEUR","ALICE","EUR","online","True","{""pair_key"":""ALICEEUR"",""match_methods"":[""result_object_key"",""altname"",""wsname_without_separator""],""base"":""ALICE"",""quote"":""ZEUR""}"
