"base_asset_id","alias_text","alias_type","requires_crypto_context","alias_source"
"MEW","MEW","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MICHI","MICHI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MINA","MINA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MIR","MIR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MKR","MakerDAO","manual_core_name","False","AF003_APPROVED_ALIAS"
"MKR","MKR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MNGO","MNGO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MNT","MNT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MOG","MOG","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MOODENG","MOODENG","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MOON","MOON","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MORPHO","MORPHO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MOVE","MOVE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MOVR","MOVR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MSOL","MSOL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MUBARAK","MUBARAK","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MULTI","MULTI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MV","MV","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"MXC","MXC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NANO","NANO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NEAR","NEAR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NEAR","Near Protocol","manual_core_name","False","AF003_APPROVED_ALIAS"
"NEIRO","NEIRO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NIL","NIL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NMR","NMR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NODL","NODL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NOS","NOS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NOT","NOT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NPC","NPC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NTRN","NTRN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"NYM","NYM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"OCEAN","OCEAN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ODOS","ODOS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"OGN","OGN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"OM","OM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"OMG","OMG","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"OMNI","OMNI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ONDO","ONDO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"OP","OP","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"OP","Optimism","manual_core_name","True","AF003_APPROVED_ALIAS"
"ORCA","ORCA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ORDER","ORDER","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"OSMO","OSMO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"OXT","OXT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"OXY","OXY","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PAXG","PAXG","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PDA","PDA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PENDLE","PENDLE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PENGU","PENGU","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PEPE","Pepe","manual_core_name","True","AF001_KRAKEN_SYMBOL|AF003_APPROVED_ALIAS"
"PERP","PERP","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PHA","PHA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PLUME","PLUME","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PNUT","PNUT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"POL","POL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"POL","Polygon","manual_core_name","True","AF003_APPROVED_ALIAS"
"POLIS","POLIS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"POLS","POLS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"POND","POND","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PONKE","PONKE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"POPCAT","POPCAT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PORTAL","PORTAL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"POWR","POWR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PRCL","PRCL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PRIME","PRIME","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PROMPT","PROMPT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PSTAKE","PSTAKE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PUFFER","PUFFER","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PYTH","PYTH","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"PYUSD","PYUSD","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"QNT","QNT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"QTUM","QTUM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RAD","RAD","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RARE","RARE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RARI","RARI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RAY","RAY","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RBC","RBC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RED","RED","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"REN","REN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RENDER","RENDER","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RENDER","Render Network","manual_core_name","False","AF003_APPROVED_ALIAS"
"REPV2","REPV2","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"REQ","REQ","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"REZ","REZ","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RIZE","RIZE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RLC","RLC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RLUSD","RLUSD","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ROOK","ROOK","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RPL","RPL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RSR","RSR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RUJI","RUJI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"RUNE","RUNE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"S","S","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SAFE","SAFE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SAGA","SAGA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SAHARA","SAHARA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SAMO","SAMO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SAND","SAND","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SBR","SBR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SC","SC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SCRT","SCRT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SDN","SDN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SEI","SEI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SGB","SGB","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SHIB","SHIB","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SHIB","Shiba Inu","manual_core_name","False","AF003_APPROVED_ALIAS"
"SIGMA","SIGMA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SKY","SKY","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SNEK","SNEK","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SNX","SNX","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SOL","SOL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SOL","Solana","manual_core_name","False","AF003_APPROVED_ALIAS"
"SONIC","SONIC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SPELL","SPELL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SPICE","SPICE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SPK","SPK","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SPX","SPX","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SRM","SRM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SSV","SSV","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"STEP","STEP","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"STG","STG","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"STORJ","STORJ","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"STRD","STRD","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"STRK","STRK","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"STX","STX","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SUI","Sui","manual_core_name","True","AF001_KRAKEN_SYMBOL|AF003_APPROVED_ALIAS"
"SUN","SUN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SUNDOG","SUNDOG","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SUPER","SUPER","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SUSHI","SUSHI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SWARMS","SWARMS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SWELL","SWELL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SXT","SXT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SYN","SYN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"SYRUP","SYRUP","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"T","T","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TAO","Bittensor","manual_core_name","False","AF003_APPROVED_ALIAS"
"TAO","TAO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TBTC","TBTC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TEER","TEER","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TERM","TERM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TIA","Celestia","manual_core_name","False","AF003_APPROVED_ALIAS"
"TIA","TIA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TITCOIN","TITCOIN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TLM","TLM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TNSR","TNSR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TOKE","TOKE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TOKEN","TOKEN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TON","TON","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TON","Toncoin","manual_core_name","False","AF003_APPROVED_ALIAS"
"TOSHI","TOSHI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TRAC","TRAC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TREMP","TREMP","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TRU","TRU","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TRUMP","TRUMP","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TRX","Tron","manual_core_name","True","AF003_APPROVED_ALIAS"
"TRX","TRX","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TURBO","TURBO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TUSD","TUSD","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"TVK","TVK","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"UFD","UFD","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"UMA","UMA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"UNFI","UNFI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"UNI","UNI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"UNI","Uniswap","manual_core_name","False","AF003_APPROVED_ALIAS"
"USDC","USD Coin","manual_core_name","False","AF003_APPROVED_ALIAS"
"USDC","USDC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"USDD","USDD","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"USDG","USDG","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"USDQ","USDQ","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"USDR","USDR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"USDS","USDS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"USDT","Tether","manual_core_name","True","AF003_APPROVED_ALIAS"
"USDT","USDT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"UST","UST","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"USUAL","USUAL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"VANRY","VANRY","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"VELODROME","VELODROME","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"VINE","VINE","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"VIRTUAL","VIRTUAL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"VVV","VVV","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"W","W","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"WAL","WAL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"WAXL","WAXL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"WBTC","WBTC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"WCT","WCT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"WELL","WELL","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"WEN","WEN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"WIF","WIF","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"WIN","WIN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"WLD","WLD","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"WOO","WOO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XCN","XCN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XETC","ETC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XETC","Ethereum Classic","manual_core_name","False","AF003_APPROVED_ALIAS"
"XETH","ETH","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XETH","Ethereum","manual_core_name","False","AF003_APPROVED_ALIAS"
"XLTC","Litecoin","manual_core_name","False","AF003_APPROVED_ALIAS"
"XLTC","LTC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XMLN","MLN","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XREP","REP","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XRT","XRT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XTZ","XTZ","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XXBT","Bitcoin","manual_core_name","False","AF003_APPROVED_ALIAS"
"XXBT","BTC","manual_core_symbol","True","AF003_APPROVED_ALIAS"
"XXBT","XBT","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XXDG","DOGE","manual_core_symbol","True","AF003_APPROVED_ALIAS"
"XXDG","Dogecoin","manual_core_name","False","AF003_APPROVED_ALIAS"
"XXDG","XDG","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XXLM","Stellar","manual_core_name","True","AF003_APPROVED_ALIAS"
"XXLM","XLM","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XXMR","Monero","manual_core_name","False","AF003_APPROVED_ALIAS"
"XXMR","XMR","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XXRP","Ripple","manual_core_name","False","AF003_APPROVED_ALIAS"
"XXRP","XRP","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"XZEC","ZEC","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"YFI","YFI","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"YGG","YGG","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ZEREBRO","ZEREBRO","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ZETA","ZETA","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ZEUS","ZEUS","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
"ZEX","ZEX","kraken_base_symbol","True","AF001_KRAKEN_SYMBOL"
