"archive_file","archive_sha256","entry_count","rows_scanned","malformed_field_count_rows","strict_utf8_invalid_rows","strict_utf8_invalid_fields","allnames_utf8_invalid_rows","critical_field_utf8_invalid_rows","noncritical_only_utf8_invalid_rows","field_count_distribution","status"
"20250404130000.gkg.csv.zip","c49573b530162c729e7c074e1d0741199737d3b0acddf4bc398142c278c44259","1","1489","0","1","1","0","0","1","27:1489","PASS_NONCRITICAL_UTF8_ONLY"
"20250405043000.gkg.csv.zip","a982bfed6c977fcaa7e34731921532dcb013e948ed5a1b72ae8e0616028c3158","1","1028","0","1","1","0","0","1","27:1028","PASS_NONCRITICAL_UTF8_ONLY"
"20250405051500.gkg.csv.zip","bb4d265fceb100f8d68200cb45f38d13543bcac314f4f8fd489fa5d99a32e438","1","806","0","1","1","0","0","1","27:806","PASS_NONCRITICAL_UTF8_ONLY"
"20250405060000.gkg.csv.zip","ebb9d7ae7d42f7299d95a9ab7e5e8170d0693532fae74daeccbc1de7acc17164","1","822","1","0","0","0","0","0","1:1|27:821","FAIL_RAW_FIELD_COUNT"
"20250406140000.gkg.csv.zip","33a6a3fdd3cde0052f9ecb06f9c0f1d448a2e0355c7eac8b82c0ca59b00cfa43","1","904","0","1","1","0","0","1","27:904","PASS_NONCRITICAL_UTF8_ONLY"
"20250406231500.gkg.csv.zip","0ba5ffc3929958f741e044af3a62933b05321b5e6fcdaae4f565457a3d52ca41","1","914","0","1","1","0","0","1","27:914","PASS_NONCRITICAL_UTF8_ONLY"
"20250407083000.gkg.csv.zip","7f5b39456fd9d730e29fb3e37c9aabc75d84b293b875ac3b2a8107f880a3ef20","1","1020","0","1","1","0","0","1","27:1020","PASS_NONCRITICAL_UTF8_ONLY"
"20250407130000.gkg.csv.zip","661c81e464ba4aabab14fbd12f8863413e24287e12f75ef0467647196af1c0fe","1","1693","0","1","1","0","0","1","27:1693","PASS_NONCRITICAL_UTF8_ONLY"
"20250407201500.gkg.csv.zip","2392ad875024ce506f7e70735068518ab884e580166060537e58c127459f679f","1","1651","0","1","1","0","0","1","27:1651","PASS_NONCRITICAL_UTF8_ONLY"
"20250408221500.gkg.csv.zip","b846e07c4c08257030b50b802d93f358858a9a37fd6b0dfcb09a2a3a38e8af20","1","1897","0","1","1","0","0","1","27:1897","PASS_NONCRITICAL_UTF8_ONLY"
"20250409200000.gkg.csv.zip","9120f136cb1d1231912bd998c56e0795897a1a8970469c0ed8d5f78413bc08fe","1","1847","0","1","1","0","0","1","27:1847","PASS_NONCRITICAL_UTF8_ONLY"
"20250409204500.gkg.csv.zip","95089db53ae228239da01fc3a061780654e30e0bd4e142bb856d8960fc65e6e2","1","1809","0","1","1","0","0","1","27:1809","PASS_NONCRITICAL_UTF8_ONLY"
"20250410094500.gkg.csv.zip","461172e0cd53b4f8f8b5ec07d0d16dd8290dfb0c5aa08bac92f0a9aba172064b","1","1464","0","1","1","0","0","1","27:1464","PASS_NONCRITICAL_UTF8_ONLY"
"20250410111500.gkg.csv.zip","0fd7c00a7a5a027812a51ee89d437353a09d476bcea4cd70ff7a2b8f6c3391db","1","1631","0","1","1","0","0","1","27:1631","PASS_NONCRITICAL_UTF8_ONLY"
"20250410191500.gkg.csv.zip","0631f0c9111d511cbfde5dc2278fad3701095c8d460058adab0c713987a6c75a","1","2231","1","0","0","0","0","0","1:1|27:2230","FAIL_RAW_FIELD_COUNT"
"20250411113000.gkg.csv.zip","09afcb8d2742ba89b88c9161800d5c146cff94ff1543b552978f4c8ac992ad2f","1","1631","0","1","1","0","0","1","27:1631","PASS_NONCRITICAL_UTF8_ONLY"
"20250411134500.gkg.csv.zip","78bffa76801b5fa70c6abeffcb08db3e343dd1a894d46a15549c6e36331b94d8","1","1663","0","1","1","0","0","1","27:1663","PASS_NONCRITICAL_UTF8_ONLY"
"20250414104500.gkg.csv.zip","dd2dbbb7e7821fb507e3f76a694a513866cde9491d0d437f1e206d2ec670ccf0","1","1206","0","1","1","0","0","1","27:1206","PASS_NONCRITICAL_UTF8_ONLY"
"20250414180000.gkg.csv.zip","b128333f2974e5913cf1d686a0173afae086da0387918e07ab3b24f3c8e680fd","1","1882","0","1","1","0","0","1","27:1882","PASS_NONCRITICAL_UTF8_ONLY"
"20250415040000.gkg.csv.zip","427550cb4243b6b4ca0f8bba7e2c7dd645f3d20167a389b56205b4b4cfae47b2","1","1056","0","1","1","0","0","1","27:1056","PASS_NONCRITICAL_UTF8_ONLY"
"20250415060000.gkg.csv.zip","9f73358a269d2029945536d74efef960e2554aa94665bbb7f3e470e7c5a96a39","1","1143","0","1","1","0","0","1","27:1143","PASS_NONCRITICAL_UTF8_ONLY"
"20250415174500.gkg.csv.zip","c5a8c40f87927bca583a36aea959a54cfe9c7809df953b5ff3cead4cf4c73c82","1","2250","0","1","1","0","0","1","27:2250","PASS_NONCRITICAL_UTF8_ONLY"
"20250415190000.gkg.csv.zip","bc24848c29e587a6067f99dc437be6a6c48fdc192ddc580ee41edca9bcfbed24","1","1903","0","1","1","0","0","1","27:1903","PASS_NONCRITICAL_UTF8_ONLY"
"20250417073000.gkg.csv.zip","2cd545b68c5030a8966f329e62be38c3624a688848c241b56efb4045ac31a0ca","1","1412","0","1","1","0","0","1","27:1412","PASS_NONCRITICAL_UTF8_ONLY"
"20250417111500.gkg.csv.zip","f867d0190dbb07b96c056a9774b1d3ea113b7cde55ec0e0b48616be3a0a7696d","1","1424","0","1","1","0","0","1","27:1424","PASS_NONCRITICAL_UTF8_ONLY"
"20250417210000.gkg.csv.zip","16f4eec1ff9dd9f02bed2191d6705498903a5d1b43d6dff54c649cf07c5556fc","1","1805","2","0","0","0","0","0","1:2|27:1803","FAIL_RAW_FIELD_COUNT"
"20250418090000.gkg.csv.zip","b8d5e66802e076addb4573fda8190c4e43ae354d23f2349759ad3248cc27fd21","1","938","0","1","1","0","0","1","27:938","PASS_NONCRITICAL_UTF8_ONLY"
"20250418164500.gkg.csv.zip","87dffe7f2ec22ac9705f3cd6fcbb96da3d55b79788e00ccaaf32a596cf1ec55b","1","1766","0","1","1","0","0","1","27:1766","PASS_NONCRITICAL_UTF8_ONLY"
"20250420003000.gkg.csv.zip","586a14ae4fa2146c946472ca122039889252b420b32ea7b0eb62e076dd238b6c","1","615","0","1","1","0","0","1","27:615","PASS_NONCRITICAL_UTF8_ONLY"
"20250420034500.gkg.csv.zip","5fec96abdcd5b08b10db81e0af403064a33f2ac5d8ad2f580b771a6777b4ef19","1","606","0","1","1","0","0","1","27:606","PASS_NONCRITICAL_UTF8_ONLY"
"20250420100000.gkg.csv.zip","584d6c8e72a281fd75a1a3bf0585967f7413899293bd096dc668edf81ecd4c28","1","643","0","1","1","0","0","1","27:643","PASS_NONCRITICAL_UTF8_ONLY"
"20250421013000.gkg.csv.zip","05fecc4921e527da2717bc9126fff5de0a03a3f7b35be81cdb76bc5cade64deb","1","827","0","1","1","0","0","1","27:827","PASS_NONCRITICAL_UTF8_ONLY"
"20250421093000.gkg.csv.zip","1bd607b39d6bc2c52b78e2b84572f3cddbb699347424c309daa1f706e458502a","1","1164","0","1","1","0","0","1","27:1164","PASS_NONCRITICAL_UTF8_ONLY"
"20250421103000.gkg.csv.zip","fc7d755128169da5059077c0e8c7e5f458afe7b168976c0453cbda25dd0bd18d","1","1504","0","1","1","0","0","1","27:1504","PASS_NONCRITICAL_UTF8_ONLY"
"20250421150000.gkg.csv.zip","72f7e7033f02f79839d471319d83bdb7e8a71fbecb480ba167b8dbde7c725b88","1","1756","0","1","1","0","0","1","27:1756","PASS_NONCRITICAL_UTF8_ONLY"
"20250422114500.gkg.csv.zip","322bc43cc122059c9d64bb32568cb649014003eef7915c583c49f986e6976009","1","1575","0","1","1","0","0","1","27:1575","PASS_NONCRITICAL_UTF8_ONLY"
"20250423181500.gkg.csv.zip","b7893ae22ba7c8ffce52d8847960e2f05a5eaa6328efc9b7434b5219e2932f60","1","2111","0","2","2","0","0","2","27:2111","PASS_NONCRITICAL_UTF8_ONLY"
"20250424014500.gkg.csv.zip","3adbf77bf4e237f34c7228b937cf3450f1ca9911bd3c81f960dab5745ae80d46","1","1215","0","1","1","0","0","1","27:1215","PASS_NONCRITICAL_UTF8_ONLY"
"20250424090000.gkg.csv.zip","9f91208923fc3d3ab68d47e3d550bacec059be268c38bc10a50da397b0ba890a","1","1289","0","1","1","0","0","1","27:1289","PASS_NONCRITICAL_UTF8_ONLY"
"20250424223000.gkg.csv.zip","d13297f8806a5bfc3ad06716b67c45c16a17a6f0b945c5d37ae0a4ff358a7357","1","1648","0","1","1","0","0","1","27:1648","PASS_NONCRITICAL_UTF8_ONLY"
"20250426204500.gkg.csv.zip","701a5aa97289173fd2fc8ecb2f1706a23f369e88faefd1c0d1dd2e4781c14403","1","766","0","1","1","0","0","1","27:766","PASS_NONCRITICAL_UTF8_ONLY"
"20250428131500.gkg.csv.zip","a329e59709629563eede8987ee6ff25c86e59e1414bb5ee1d9226e5c3893a808","1","1540","0","1","1","0","0","1","27:1540","PASS_NONCRITICAL_UTF8_ONLY"
"20250428163000.gkg.csv.zip","83548dfc37dda09e52f7de0241e2cc7018f585ed413fc207a3876786092e6af1","1","1936","0","1","1","0","0","1","27:1936","PASS_NONCRITICAL_UTF8_ONLY"
"20250429111500.gkg.csv.zip","30a9eb9351beca2d83208309fbac6ba5d4f126a60a9a14404528321cd6c76713","1","1543","0","1","1","0","0","1","27:1543","PASS_NONCRITICAL_UTF8_ONLY"
"20250429160000.gkg.csv.zip","affe0158f822469c834059f9589ea9fe12f016a0cc80f5b32a2faa26b26b029e","1","2454","0","1","1","0","0","1","27:2454","PASS_NONCRITICAL_UTF8_ONLY"
"20250430184500.gkg.csv.zip","37840b7a81e1a9b8d0de2873018067bc70b006226296dacdfa605aacc5cacec6","1","2663","1","0","0","0","0","0","1:1|27:2662","FAIL_RAW_FIELD_COUNT"
"20250501150000.gkg.csv.zip","bcd35be5b5dc315311afd34d53abeb976c856249929dc071b99b30898492d83d","1","1838","0","2","2","0","0","2","27:1838","PASS_NONCRITICAL_UTF8_ONLY"
"20250502013000.gkg.csv.zip","9f81cdb6efbe8e7653365a3e7fe4ae427f34b7af4963509fcdd2a731ff223807","1","1305","0","1","1","0","0","1","27:1305","PASS_NONCRITICAL_UTF8_ONLY"
"20250502023000.gkg.csv.zip","e679352401de786339683e3a5e24237d17eeb43456662b6fd3f2a320d78244ff","1","986","0","1","1","0","0","1","27:986","PASS_NONCRITICAL_UTF8_ONLY"
"20250502093000.gkg.csv.zip","0c4d119507b397eeb2e9b4efecff639c9fb06b577ec8300c142a60709b70ec46","1","988","0","1","1","0","0","1","27:988","PASS_NONCRITICAL_UTF8_ONLY"
"20250502104500.gkg.csv.zip","97a6a53a4af2596ff31b1b7bf21558a1cf73f06af0c90f437adc8dfbcc10bb2e","1","1186","0","1","1","0","0","1","27:1186","PASS_NONCRITICAL_UTF8_ONLY"
"20250502110000.gkg.csv.zip","e85cbd5d939952d16c61a4a452e1becd0708628e87ae0be7128950ff113ac3db","1","1246","0","1","1","0","0","1","27:1246","PASS_NONCRITICAL_UTF8_ONLY"
"20250502170000.gkg.csv.zip","7be20374c63db8e53f2447fa31c2095f27adbc73428ec238131fc7c85e924362","1","1854","0","1","1","0","0","1","27:1854","PASS_NONCRITICAL_UTF8_ONLY"
"20250504094500.gkg.csv.zip","46e880ea80e77941cff9f81777a39ee54742bc55fe82ea711bb8c91f5b43de5f","1","667","0","1","1","0","0","1","27:667","PASS_NONCRITICAL_UTF8_ONLY"
"20250506044500.gkg.csv.zip","145e57ccd565ebec1387477bc0f4e63b3fc93f8df6f41f7a8478add2450bdb73","1","1020","0","1","1","0","0","1","27:1020","PASS_NONCRITICAL_UTF8_ONLY"
"20250507003000.gkg.csv.zip","769f37ebc25fc50f1cd79869d3f6c035e596b0b9c06c6f8f01e2b861cb6480f4","1","1260","0","1","1","0","0","1","27:1260","PASS_NONCRITICAL_UTF8_ONLY"
"20250507031500.gkg.csv.zip","263cebd1ab198d5a45c49013a7444119e22443470ec33794d31634703eb72792","1","1215","0","1","1","0","0","1","27:1215","PASS_NONCRITICAL_UTF8_ONLY"
"20250508104500.gkg.csv.zip","835e97f5371edf82ec73c55983b2456a8d940ee5cd553f4393ae90a13de093d9","1","1436","0","1","1","0","0","1","27:1436","PASS_NONCRITICAL_UTF8_ONLY"
"20250509080000.gkg.csv.zip","8f124753f2f1aec67b5afef7876ce6fd297026415131adcfa362c866e8a9dbfc","1","1148","0","1","1","0","0","1","27:1148","PASS_NONCRITICAL_UTF8_ONLY"
"20250509124500.gkg.csv.zip","57aa03f65239debdc00fdd0447248b085ac56612f0d256f87480db4978c294b5","1","1624","0","2","2","0","0","2","27:1624","PASS_NONCRITICAL_UTF8_ONLY"
"20250509131500.gkg.csv.zip","8bf9632e3c831dfb31f48c170280aa6e9c1456b3b3a78dc7b1017ac5a1807aac","1","1475","0","1","1","0","0","1","27:1475","PASS_NONCRITICAL_UTF8_ONLY"
"20250509163000.gkg.csv.zip","10d902d43fc80bc11462d8b983d41c39802a5634a929c96f20b9191d9a02ed58","1","1887","0","1","1","0","0","1","27:1887","PASS_NONCRITICAL_UTF8_ONLY"
"20250510004500.gkg.csv.zip","68bf2119976b0b30bae3a633565003dea15defbe3f7c2f46aafd7f1550627d6f","1","1068","0","1","1","0","0","1","27:1068","PASS_NONCRITICAL_UTF8_ONLY"
"20250512113000.gkg.csv.zip","11d31b08719be9b8a4c514027f1a905f975de7b724c77924e1fe9dd1df4dc1aa","1","1370","0","1","1","0","0","1","27:1370","PASS_NONCRITICAL_UTF8_ONLY"
"20250512164500.gkg.csv.zip","1ee84403a469b4033c8b77efff46c1ef830c28961f49c2f77c423279a6c59896","1","1955","0","1","1","0","0","1","27:1955","PASS_NONCRITICAL_UTF8_ONLY"
"20250513001500.gkg.csv.zip","977d5268dbb1ca0efaabe8b52813f0e7f46352459c160ce71d92509ac5c500c3","1","1226","0","1","1","0","0","1","27:1226","PASS_NONCRITICAL_UTF8_ONLY"
"20250513021500.gkg.csv.zip","730f8bae9bd8633004241e19d01db2c20069e24e104be3dabb7d27e7c0db3066","1","1113","0","1","1","0","0","1","27:1113","PASS_NONCRITICAL_UTF8_ONLY"
"20250513154500.gkg.csv.zip","41e46e117f7392ba37c3e8b9e3bc109eac446970616a9711386b618f8ac92fa2","1","2736","0","1","1","0","0","1","27:2736","PASS_NONCRITICAL_UTF8_ONLY"
"20250513200000.gkg.csv.zip","7004329021e425c62aa4e8c49404aca9c27e4018e5a1c63961b8a31ebd60e674","1","2168","0","1","1","0","0","1","27:2168","PASS_NONCRITICAL_UTF8_ONLY"
"20250514011500.gkg.csv.zip","c61670c50df736c2dba4d3bc28ff3fbf717b62d6e70cf10d44c664ac1bac06e3","1","1270","0","1","1","0","0","1","27:1270","PASS_NONCRITICAL_UTF8_ONLY"
"20250514090000.gkg.csv.zip","94ab8743387d41e93511fb14cc1dd0e3998621b857b4a46f4b631851b6087acc","1","1002","0","1","1","0","0","1","27:1002","PASS_NONCRITICAL_UTF8_ONLY"
"20250515004500.gkg.csv.zip","d6e671e4d818286d14df35909d66b5d36df54ca58d5765a28a46378c80d87060","1","1504","0","1","1","0","0","1","27:1504","PASS_NONCRITICAL_UTF8_ONLY"
"20250516014500.gkg.csv.zip","7d29aa653a7dc9268a8cf67c3e81b9139826ac040751123516d62d3a9e68d7f0","1","1370","0","1","1","0","0","1","27:1370","PASS_NONCRITICAL_UTF8_ONLY"
"20250516041500.gkg.csv.zip","3ff342a2619e6cf2450f2c27ad5751fd6efbcb7527f330c05d35f06fb9948935","1","1000","0","1","1","0","0","1","27:1000","PASS_NONCRITICAL_UTF8_ONLY"
"20250516043000.gkg.csv.zip","1ebdd159e1120fe3458b5de5ea33efe6d0403a2e768bd9a6f7e89e80296f64c4","1","1243","0","2","2","0","0","2","27:1243","PASS_NONCRITICAL_UTF8_ONLY"
"20250516164500.gkg.csv.zip","c78c67168bbb105eadf6c182b36ed9459a9ba0c47d931fa33cae2343d280a1ed","1","1622","0","1","1","0","0","1","27:1622","PASS_NONCRITICAL_UTF8_ONLY"
"20250518041500.gkg.csv.zip","c443977106906e2f2cdc78073cbe93716e2c3870b01b74a4722a8c8b9ae08a0c","1","470","0","1","1","0","0","1","27:470","PASS_NONCRITICAL_UTF8_ONLY"
"20250519153000.gkg.csv.zip","78f71b5d8a2662a3746c45878287c34f06aa62a41cbd1a3fd8a5f3506f8823b1","1","1796","0","1","1","0","0","1","27:1796","PASS_NONCRITICAL_UTF8_ONLY"
"20250519194500.gkg.csv.zip","fa596bfb094ce1f312eaa87fc10d57cfd5a2afb06963e9a43262c8a27332ad3e","1","1841","0","1","1","0","0","1","27:1841","PASS_NONCRITICAL_UTF8_ONLY"
"20250520041500.gkg.csv.zip","1e58b5c5dfa6a3e26dc46377f2315c346ef9468c37e3837d013efc5086c3b7c8","1","981","0","1","1","0","0","1","27:981","PASS_NONCRITICAL_UTF8_ONLY"
"20250521091500.gkg.csv.zip","b28e0882f8d1b960c91dd4dd9fd157a7ed0b8c60f63ba809af31a87727d8769a","1","1290","0","1","1","0","0","1","27:1290","PASS_NONCRITICAL_UTF8_ONLY"
"20250521111500.gkg.csv.zip","f34aa8fe54652c7d2965433effb551df3fa9b1fc708c8c50b0b6856d7939e2a9","1","1248","0","1","1","0","0","1","27:1248","PASS_NONCRITICAL_UTF8_ONLY"
